"1","Abiotrophia defectiva"
"2","Abyssicoccus albus"
"3","Achromobacter spanius"
"4","Achromobacter xylosoxidans"
"5","Acidovorax antarcticus"
"6","Acidovorax avenae"
"7","Acidovorax carolinensis"
"8","Acidovorax citrulli"
"9","Acidovorax monticola"
"10","Acinetobacter baumannii"
"11","Acinetobacter bereziniae"
"12","Acinetobacter bouvetii"
"13","Acinetobacter calcoaceticus"
"14","Acinetobacter chinensis"
"15","Acinetobacter cumulans"
"16","Acinetobacter defluvii"
"17","Acinetobacter dispersus"
"18","Acinetobacter equi"
"19","Acinetobacter guillouiae"
"20","Acinetobacter haemolyticus"
"21","Acinetobacter indicus"
"22","Acinetobacter junii"
"23","Acinetobacter lactucae"
"24","Acinetobacter lanii"
"25","Acinetobacter lwoffii"
"26","Acinetobacter nosocomialis"
"27","Acinetobacter oleivorans"
"28","Acinetobacter pittii"
"29","Acinetobacter radioresistens"
"30","Acinetobacter schindleri"
"31","Acinetobacter seifertii"
"32","Acinetobacter shaoyimingii"
"33","Acinetobacter towneri"
"34","Acinetobacter variabilis"
"35","Acinetobacter wuhouensis"
"36","Actinomarinicola tropica"
"37","Actinomyces naeslundii"
"38","Actinomyces oris"
"39","Actinomyces pacaensis"
"40","Actinomyces viscosus"
"41","Aerococcus viridans"
"42","Aeromicrobium erythreum"
"43","Aeromicrobium yanjiei"
"44","Aeromonas caviae"
"45","Aerosticca soli"
"46","Aggregatibacter aphrophilus"
"47","Aggregatibacter segnis"
"48","Agrobacterium tumefaciens"
"49","Alcaligenes ammonioxydans"
"50","Alcaligenes faecalis"
"51","Alicycliphilus denitrificans"
"52","Alicyclobacillus acidocaldarius"
"53","Allocoleopsis franciscana"
"54","Allomeiothermus silvanus"
"55","Anabaena cylindrica"
"56","Anaerococcus mediterraneensis"
"57","Anaerococcus obesiensis"
"58","Anoxybacillus amylolyticus"
"59","Anoxybacillus flavithermus"
"60","Anoxybacillus gonensis"
"61","Aquabacterium olei"
"62","Aquincola tertiaricarbonis"
"63","Aquirhabdus parva"
"64","Arachnia propionica"
"65","Arthrobacter agilis"
"66","Asticcacaulis excentricus"
"67","Azospira oryzae"
"68","Azospira restricta"
"69","Bifidobacterium longum"
"70","Blastomonas fulva"
"71","Blautia wexlerae"
"72","Bordetella petrii"
"73","Bosea vaviloviae"
"74","Brachybacterium sp. NBEC-018"
"75","Brachybacterium vulturis"
"76","Bradyrhizobium betae"
"77","Bradyrhizobium elkanii"
"78","Bradyrhizobium guangdongense"
"79","Bradyrhizobium japonicum"
"80","Bradyrhizobium quebecense"
"81","Bradyrhizobium septentrionale"
"82","Brevibacterium aurantiacum"
"83","Brevibacterium casei"
"84","Brevibacterium luteolum"
"85","Brevundimonas albigilva"
"86","Brevundimonas nasdae"
"87","Brevundimonas pondensis"
"88","Brevundimonas vesicularis"
"89","Brochothrix thermosphacta"
"90","Brucella anthropi"
"91","Burkholderia ambifaria"
"92","Burkholderia cenocepacia"
"93","Burkholderia lata"
"94","Burkholderia metallica"
"95","Burkholderia multivorans"
"96","Burkholderia orbicola"
"97","Burkholderia pyrrocinia"
"98","Burkholderia seminalis"
"99","Caballeronia grimmiae"
"100","Caenibius tardaugens"
"101","Caldibacillus thermoamylovorans"
"102","Caldicellulosiruptor acetigenus"
"103","Caldimonas brevitalea"
"104","Caldimonas thermodepolymerans"
"105","Capillimicrobium parvum"
"106","Capnocytophaga gingivalis"
"107","Capnocytophaga sputigena"
"108","Cardiobacterium hominis"
"109","Castellaniella defragrans"
"110","Caulobacter mirabilis"
"111","Caulobacter rhizosphaerae"
"112","Caulobacter segnis"
"113","Chroococcidiopsis thermalis"
"114","Chryseobacterium taklimakanense"
"115","Cloacibacterium caeni"
"116","Cloacibacterium normanense"
"117","Comamonas aquatica"
"118","Comamonas fluminis"
"119","Comamonas kerstersii"
"120","Comamonas serinivorans"
"121","Comamonas thiooxydans"
"122","Corynebacterium accolens"
"123","Corynebacterium amycolatum"
"124","Corynebacterium aurimucosum"
"125","Corynebacterium glaucum"
"126","Corynebacterium glucuronolyticum"
"127","Corynebacterium imitans"
"128","Corynebacterium jeikeium"
"129","Corynebacterium kefirresidentii"
"130","Corynebacterium kroppenstedtii"
"131","Corynebacterium lujinxingii"
"132","Corynebacterium macginleyi"
"133","Corynebacterium minutissimum"
"134","Corynebacterium propinquum"
"135","Corynebacterium sanguinis"
"136","Corynebacterium simulans"
"137","Corynebacterium singulare"
"138","Corynebacterium tuberculostearicum"
"139","Corynebacterium ureicelerivorans"
"140","Corynebacterium vitaeruminis"
"141","Crinalium epipsammum"
"142","Cupriavidus basilensis"
"143","Cupriavidus gilardii"
"144","Cupriavidus malaysiensis"
"145","Cupriavidus necator"
"146","Cupriavidus oxalaticus"
"147","Cupriavidus pinatubonensis"
"148","Curtobacterium flaccumfaciens"
"149","Curtobacterium luteum"
"150","Cutibacterium acnes"
"151","Cutibacterium avidum"
"152","Cutibacterium granulosum"
"153","Cutibacterium modestum"
